condition,lid,set,dpc_x_mean,dpc_x_std,dpc_x_std_bg,dpc_x_std_cell,dpc_y_mean,dpc_y_std,dpc_y_std_bg,dpc_y_std_cell,bg_fraction,cell_fraction,bf_p70,bf_p30
off_serum2,off,primary,3.061243102388247e-05,0.020384784925699034,0.022507453840847045,0.022190249598758646,7.519027428567619e-06,0.020422093207760218,0.023103417359785303,0.021009939462653986,0.3,0.3,1.006616597209907,0.9933580423947378
off_serum3,off,primary,-2.8106462709603876e-05,0.031053209509763573,0.033089681186629395,0.03183598086608401,1.7858101716864018e-05,0.031038680153323686,0.03329055924802529,0.031395312999384486,0.3,0.3,1.0114064431068324,0.9866953399930474
on_100mM1,on,primary,3.156933478228131e-05,0.023179157623508716,0.021052594303976737,0.03055816261124179,1.2701480791130271e-05,0.021956469514017973,0.02071400431691852,0.027407378588774733,0.3,0.3,1.007476422827433,0.9929103192002211
on_100mM2,on,primary,-1.865013257949722e-05,0.024088203156126392,0.026451585475304858,0.023707215512857663,2.1693230094413673e-05,0.023854974203175717,0.0271872003026149,0.022417052150737932,0.3,0.3,1.009072482010377,0.9898342046474503
on_100mM3,on,primary,1.9593336797182368e-05,0.021503288287734686,0.02050934715879045,0.026109354702577987,1.2265957599063364e-05,0.020018701156094193,0.020679466045491573,0.021730289480114594,0.3,0.3,1.0079760747758753,0.99272669599973
on_5mM1,on,caveat,-5.812231614594656e-05,0.025502145402651617,0.025368837583234948,0.027742051268240763,2.5626957899642983e-05,0.025565976441763796,0.02572873904527585,0.027225612102544147,0.3,0.3,1.0094840574460338,0.9903863755240438
on_5mM2,on,caveat,-4.2869225572733045e-05,0.02428659669997096,0.023590536997775295,0.027411974385957525,3.54906725660765e-05,0.024382488750605457,0.023183217196849307,0.027633607885728384,0.3,0.3,1.0087712944202223,0.9913380837860291
on_5mM3,on,primary,3.810046011049376e-05,0.026359327311464016,0.030111719410549895,0.02821886742266424,3.18370702034049e-05,0.02581887210997157,0.03008154809182625,0.026109073397644397,0.3,0.3,1.007816177619497,0.9918298078835946
on_NO10_1,on,primary,1.92744969672636e-05,0.02468841305552014,0.02651181036408419,0.026553678963184994,-2.7107803893861516e-05,0.024295136542238808,0.02664235657196129,0.02461296125074613,0.3,0.3,1.0097756741598936,0.9888541778060299
on_NO10_2,on,primary,-0.0004924631858328649,0.028157692374026246,0.033295885980010716,0.02097581661645767,3.3553414997221506e-05,0.025298077904307537,0.032449344906368555,0.021817792604293628,0.3,0.3,1.0054976156875088,0.983572883400367
on_empty,on,empty,1.5570347776016103e-05,0.011781390510360264,0.011747596615579359,0.011826553445578673,5.03489537317667e-06,0.011686031838451518,0.011663167469903759,0.011709292491930208,0.3,0.3,1.005664091780253,0.9943186571826098
on_serum1,on,primary,-1.4429675832373655e-05,0.02298503124966416,0.022805967168126218,0.024497685273301328,1.959611094566794e-05,0.02435011455144621,0.025004161650959856,0.025134703532884863,0.3,0.3,1.0097274058456214,0.9896570120290032
on_serum2,on,primary,-2.1493178950063355e-06,0.024978314966072314,0.025573514049209704,0.02692767134122202,2.8924089441337467e-05,0.024179000740655567,0.025422410216152096,0.0258365367446451,0.3,0.3,1.0085153547469805,0.9920432379337897
on_serum3,on,primary,3.2988605762574165e-05,0.029698698229383372,0.031228482363804985,0.030410819290577977,2.3361136816065312e-05,0.029660592440776953,0.031473432947758485,0.0300043147173314,0.3,0.3,1.0111724773831814,0.9872917135734433
