condition,set,alpha,phi_mean,phi_std,phi_p01,phi_p99,phi_min,phi_max,phi_bg_std,phi_cell_std
on_100mM2,primary,0.01,1.3377930707658692e-10,0.0693945437669754,-0.14408642053604126,0.14808471500873566,-2.0262086391448975,2.150221109390259,0.06517911702394485,0.06594758480787277
on_100mM2,primary,0.1,1.192092865393013e-11,0.025726772844791412,-0.05406951531767845,0.05443059280514717,-0.8165874481201172,0.888811469078064,0.022131750360131264,0.02230202965438366
on_100mM2,primary,1.0,-5.380975070905236e-13,0.006625010631978512,-0.014861954376101494,0.014903990551829338,-0.1728447824716568,0.17784205079078674,0.005007492378354073,0.005007750820368528
on_100mM3,primary,0.0001,-6.357828846725866e-11,0.47779396176338196,-1.2972166538238525,1.125028133392334,-4.017590045928955,5.827900409698486,0.43793439865112305,0.3770505487918854
on_100mM3,primary,0.001,1.1126200655242613e-10,0.17303995788097382,-0.474630206823349,0.44966402649879456,-2.5163087844848633,2.5944552421569824,0.1522090882062912,0.13585641980171204
on_100mM3,primary,0.01,9.006924373000658e-11,0.06323609501123428,-0.14501561224460602,0.14949354529380798,-1.8583704233169556,1.8109725713729858,0.05740417540073395,0.057606104761362076
on_100mM3,primary,0.1,-9.106265221048293e-12,0.023737231269478798,-0.051981449127197266,0.05194731429219246,-0.7645139694213867,0.7241213321685791,0.018781602382659912,0.018781878054142
on_100mM3,primary,1.0,9.106265004207859e-13,0.006102727726101875,-0.014049768447875977,0.014035215601325035,-0.1415344774723053,0.14076586067676544,0.004063697531819344,0.004055009223520756
on_5mM3,primary,0.0001,3.46501671799615e-09,0.3913123607635498,-0.9406572580337524,0.9470834732055664,-3.6103434562683105,4.050424098968506,0.23359797894954681,0.2380279153585434
on_5mM3,primary,0.001,-5.337927322379699e-10,0.19285768270492554,-0.5000194311141968,0.5032815337181091,-3.326514959335327,3.4907100200653076,0.16513970494270325,0.16418148577213287
on_5mM3,primary,0.01,3.7749608994275263e-11,0.09158948063850403,-0.20321518182754517,0.21064461767673492,-2.393597364425659,2.204951763153076,0.095785953104496,0.09503805637359619
on_5mM3,primary,0.1,-3.2285849341229245e-12,0.032020751386880875,-0.06364081054925919,0.06490519642829895,-1.0696446895599365,0.852729320526123,0.031025391072034836,0.031140601262450218
on_5mM3,primary,1.0,8.485383619707965e-13,0.0075388564728200436,-0.01598777249455452,0.01607256382703781,-0.22045797109603882,0.18714305758476257,0.006416776683181524,0.0064359004609286785
on_NO10_1,primary,0.0001,3.89152088331457e-09,0.4473123848438263,-1.039589285850525,1.0771667957305908,-3.624972343444824,3.7122340202331543,0.25380897521972656,0.2479264736175537
on_NO10_1,primary,0.001,3.205405385564575e-10,0.18156284093856812,-0.4269756078720093,0.4357859492301941,-3.077310085296631,3.281439781188965,0.14641177654266357,0.14346033334732056
on_NO10_1,primary,0.01,-4.851155935292617e-11,0.07996883243322372,-0.1644745022058487,0.16450968384742737,-2.202646493911743,2.419661045074463,0.08143678307533264,0.08142293989658356
on_NO10_1,primary,0.1,-2.4835268390421827e-12,0.029063230380415916,-0.05872510001063347,0.05864226818084717,-0.9401172995567322,0.9350110292434692,0.027018938213586807,0.02699659951031208
on_NO10_1,primary,1.0,1.0348028721884547e-13,0.007161560468375683,-0.015528839081525803,0.015489611774682999,-0.1853121966123581,0.19444426894187927,0.005859574768692255,0.005797772202640772
on_NO10_2,primary,0.0001,-2.5441911688517393e-08,0.9211261868476868,-2.1639304161071777,2.718858003616333,-4.55910062789917,7.795192241668701,0.7869940996170044,0.5176077485084534
on_NO10_2,primary,0.001,-1.3854768443621879e-09,0.21983927488327026,-0.5545454025268555,0.6353402733802795,-2.097965955734253,2.50502872467041,0.1772589534521103,0.14905303716659546
on_NO10_2,primary,0.01,-3.761715383632236e-10,0.06799891591072083,-0.17754650115966797,0.17898714542388916,-1.0734751224517822,1.141595721244812,0.057492878288030624,0.05734037235379219
