condition,lid,direction,raw_mean,ff_mean,post_mb_mean,post_mb_std
on_NO10_2,on,right,16917.839492534724,16924.479896318866,0.9999999999999986,0.026976855449013803
on_empty,on,bffull,50300.81558576389,50319.54352406198,1.0000000000000007,0.010874867177608574
on_empty,on,top,23553.83144565972,23563.752256955377,0.9999999999999986,0.01710993193247348
on_empty,on,bottom,22415.815576041667,22423.02109980178,1.0000000000000002,0.017685043691533557
on_empty,on,left,25259.35313090278,25264.83150741525,0.9999999999999999,0.01650863356674131
on_empty,on,right,20991.82235503472,21001.007187246392,1.0000000000000004,0.01828803421517826
on_serum1,on,bffull,42479.217979166664,42497.622348774436,1.0000000000000004,0.019815638693215336
on_serum1,on,top,19551.51120746528,19560.534333822576,0.9999999999999968,0.031405965543767164
on_serum1,on,bottom,19014.596202604167,19024.26858520069,0.9999999999999986,0.032556559643317544
on_serum1,on,left,21962.540073784723,21968.35367046427,1.0000000000000002,0.0308225537771586
on_serum1,on,right,16904.449961979168,16912.379829873506,0.9999999999999996,0.029850343406487477
on_serum2,on,bffull,42432.909642708335,42449.64571223454,1.0000000000000018,0.016914792571324493
on_serum2,on,top,19587.502989930555,19596.040128098863,1.0000000000000013,0.029662685492954304
on_serum2,on,bottom,18816.50990607639,18824.644251010493,1.0,0.03148333927521169
on_serum2,on,left,21826.17065190972,21830.32025431162,0.9999999999999996,0.03141815848968389
on_serum2,on,right,16871.68747326389,16880.961026756773,0.9999999999999989,0.031349492729228455
on_serum3,on,bffull,43170.93766996528,43189.685515936224,1.0000000000000002,0.024290804967512833
on_serum3,on,top,19907.441863020835,19916.96880400576,0.9999999999999996,0.040238806782799175
on_serum3,on,bottom,19201.528792708334,19210.871239341745,0.9999999999999992,0.04136025580891441
on_serum3,on,left,22912.790200868054,22919.893935778156,1.0000000000000016,0.039468949430395306
on_serum3,on,right,16576.3285484375,16583.901553671472,0.9999999999999996,0.04111357382261767
